"muni_name","muni_zip_HISTORICAL","count_HISTORICAL","muni_zip_ORACLE","count_ORACLE"
"aguada",41,4,3,4
"anasco",39,40,11,40
"arecibo",5,72,13,73
"cabo rojo",37,898,23,898
"carolina",14,40,31,40
"ceiba",NA,NA,37,5
"dorado",10,2,51,2
"fajardo",18,165,53,166
"guayama",NA,NA,57,36
"humacao",21,4,69,4
"mayaguez",38,3,97,3
"naguabo",20,22,103,22
"penuelas",33,154,111,154
"vega alta",9,20,143,20
"vega baja",8,20,NA,NA
"vieques",25,512,147,512
