AREAZIP,ID09,ID10,DATE89z,ID90z,ID91z,ID92,ID93,ID94,ID95,ID96,ID97,ID98,ID99,ID00,ID01,ID02,ID03,ID04,ID05,ID06,ID07,ID08,DATE88c,Total usage: 
189,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
190,9,5,NA,NA,2,37,8,5,9,6,14,11,6,NA,14,6,4,1,4,3,5,3,50,202
191,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
196,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
201,5,4,NA,NA,NA,3,NA,NA,1,4,3,NA,NA,3,2,NA,1,2,14,18,26,14,2,102
210,5,2,NA,NA,1,2,NA,NA,5,NA,12,6,5,NA,NA,NA,1,5,2,1,6,5,7,65
211,NA,NA,NA,NA,NA,10,2,4,18,4,3,NA,NA,2,4,6,NA,9,1,8,NA,NA,16,87
212,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,6
216,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
220,12,7,NA,NA,NA,9,18,7,23,5,17,3,2,5,4,4,6,13,21,12,7,10,9,194
221,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3
224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
230,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,3,2,1,15
240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,5
250,NA,NA,NA,NA,NA,NA,NA,5,49,1,27,30,28,15,23,9,14,4,20,NA,1,11,2,239
251,4,5,NA,NA,NA,NA,9,2,21,6,1,12,19,36,12,NA,4,12,NA,1,NA,NA,2,146
256,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
260,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,5
261,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
270,2,NA,NA,NA,NA,13,NA,8,13,8,1,9,10,6,14,8,7,3,NA,4,9,NA,NA,115
280,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
282,NA,3,NA,NA,NA,13,NA,NA,13,2,1,5,11,12,11,12,10,7,3,2,1,5,3,114
290,1,NA,NA,NA,NA,53,NA,NA,3,NA,2,NA,1,3,1,4,4,2,NA,NA,NA,NA,NA,74
291,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
292,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
300,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,6
301,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
310,4,6,NA,NA,NA,14,NA,2,9,4,2,14,25,8,13,6,12,8,7,7,NA,3,16,160
320,17,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,7,13,NA,67
330,10,13,NA,NA,1,82,17,4,24,13,8,24,66,58,85,60,48,29,54,70,29,16,36,747
334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
340,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3
345,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
350,14,10,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,20,13,30,34,3,150
351,12,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,21,33,29,1,133
352,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,7
360,18,6,14,NA,NA,35,5,5,1,1,8,10,17,8,54,29,34,15,7,9,46,43,10,375
361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3
371,4,7,NA,NA,NA,22,1,NA,6,7,11,19,35,13,6,3,NA,NA,31,62,25,42,13,307
372,NA,4,NA,NA,NA,52,13,15,4,1,1,7,29,55,65,80,70,77,58,28,13,6,NA,578
373,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7
374,27,34,NA,NA,NA,5,NA,1,1,NA,NA,13,36,34,25,24,43,115,147,127,150,88,NA,870
375,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3
376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,2,NA,NA,NA,NA,6
377,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4
378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
380,14,8,NA,NA,NA,2,NA,NA,NA,NA,NA,4,1,7,7,11,13,9,7,5,10,13,3,114
381,31,16,NA,NA,NA,23,1,NA,NA,NA,NA,5,NA,12,30,44,41,70,70,51,35,48,6,483
382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,5,1,2,1,1,NA,1,NA,NA,NA,25
390,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16,25,24,24,20,29,10,8,10,3,1,181
400,7,5,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,5,3,9,6,1,46,21,6,8,4,126
401,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,1,NA,NA,3,2,2,5,NA,20,2,11,4,57
403,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,20
410,12,7,NA,2,NA,11,NA,20,NA,NA,NA,17,30,32,45,20,29,30,30,54,12,12,12,375
420,8,8,NA,NA,NA,11,2,NA,NA,NA,NA,24,26,15,30,23,22,19,27,26,34,15,7,297
421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,7
422,24,10,NA,1,1,1,NA,NA,NA,1,NA,19,45,29,41,38,65,58,56,96,61,35,4,585
425,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2
600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2
900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,3
901,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
943,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
